Rank,Player,Team,Salary
356,JaVale McGee,DAL,1270964
357,Reggie Bullock,DET,1252440
358,Clint Capela,HOU,1242720
359,Jarell Martin,MEM,1230840
360,Andre Roberson,OKC,1210800
361,P.J. Hairston,CHO,1201440
362,Boban Marjanovic,SAS,1200000
363,Jordan Mickey,BOS,1200000
364,Marcus Thornton,HOU,1186000
365,Reggie Williams,SAS,1185784
366,Toney Douglas,IND,1185784
367,Tyler Hansbrough,CHO,1185784
368,Rudy Gobert,UTA,1175880
369,Archie Goodwin,PHO,1160160
370,C.J. Wilcox,LAC,1159680
371,Larry Nance Jr.,LAL,1155600
372,Damjan Rudez,MIN,1149500
373,R.J. Hunter,BOS,1148640
374,Matthew Dellavedova,CLE,1147280
375,Kyle Anderson,SAS,1142879
376,Josh Huestis,OKC,1140240
377,Chris McCullough,BRK,1140240
378,Kevon Looney,GSW,1131960
379,Ish Smith,WAS,1100602
380,Garrett Temple,WAS,1100602
381,Jeff Adrien,NOP,1100602
382,Jeremy Evans,DAL,1100602
383,Wesley Johnson,LAC,1100600
384,Cole Aldrich,LAC,1100600
385,Luke Babbitt,NOP,1100000
386,Chris Copeland,MIL,1100000
387,Richaun Holmes,PHI,1050000
388,Jon Leuer,PHO,1035000
389,Jimmer Fredette,SAS,1015421
390,James Anderson,SAC,1015421
391,DaJuan Summers,NYK,1015421
392,Nikoloz Tskitishvili,LAC,1015421
393,Joey Dorsey,DEN,1015421
394,E'Twaun Moore,CHI,1015421
395,Donald Sloan,BRK,1015421
396,Raul Neto,UTA,1000000
397,Robert Covington,PHI,1000000
398,Joseph Young,IND,1000000
399,Rakeem Christmas,IND,1000000
400,Montrezl Harrell,HOU,1000000
401,Walter Tavares,ATL,1000000
402,Chris Johnson,UTA,981348
403,Quincy Acy,SAC,981348
404,Diante Garrett,POR,981348
405,Henry Sims,PHO,981348
406,Hassan Whiteside,MIA,981348
407,Robert Sacre,LAL,981348
408,Pablo Prigioni,LAC,981348
409,Oleksiy Pecherov,DEN,981348
410,Jared Cunningham,CLE,981348
411,Elliot Williams,CHO,981348
412,Quincy Miller,BRK,981348
413,Thomas Robinson,BRK,981300
414,John Jenkins,DAL,981000
415,Justin Holiday,ATL,947300
416,Dewayne Dedmon,ORL,947278
417,Toure' Murry,WAS,947276
418,Jeff Withey,UTA,947276
419,Grant Jerrett,UTA,947276
