name,city,state,region,highest_degree,control,gender,admission_rate,sat_avg,undergrads,tuition,faculty_salary_avg,loan_default_rate,median_debt,lon,lat
Oglethorpe University,Atlanta,GA,South,Graduate,Private,CoEd,0.7823,1139,1064,32500,4886,59,27000,-84.3879824,33.7489954
Emmanuel College,Franklin Springs,GA,South,Bachelor,Private,CoEd,0.4912,960,727,18170,4930,126,27000,-83.1443161,34.2848284
LaGrange College,Lagrange,GA,South,Graduate,Private,CoEd,0.5525,1035,874,26620,5807,100,27000,-85.0322444,33.0362218
Morehouse College,Atlanta,GA,South,Bachelor,Private,Men,0.8403,1004,2106,26090,7004,168,27000,-84.3879824,33.7489954
Savannah College of Art and Design,Savannah,GA,South,Graduate,Private,CoEd,0.6655,1081,8846,34295,8429,64,27000,-81.0998342,32.0835407
Brenau University,Gainesville,GA,South,Graduate,Private,Women,0.7581,985,1581,24780,6914,49,27429,-83.8240663,34.2978794
Shorter University,Rome,GA,South,Graduate,Private,CoEd,0.6922,951,1449,20250,5194,91,29000,-85.1646726,34.257038
Point University,West Point,GA,South,Bachelor,Private,CoEd,0.5189,917,1399,17650,4790,83,30638,-85.1832746,32.8779056
Clark Atlanta University,Atlanta,GA,South,Graduate,Private,CoEd,0.8467,860,2567,21334,6640,100,31000,-84.3879824,33.7489954
Albany State University,Albany,GA,South,Graduate,Public,CoEd,0.4729,875,3261,5192,5779,134,32555,-84.155741,31.5785074
Savannah State University,Savannah,GA,South,Graduate,Public,CoEd,0.7763,847,4659,5556,5423,152,33202,-81.0998342,32.0835407
Fort Valley State University,Fort Valley,GA,South,Graduate,Public,CoEd,0.2419,873,2172,6448,6300,178,36250,-83.8874084,32.5537585
Paine College,Augusta,GA,South,Bachelor,Private,CoEd,0.2181,760,841,13332,4907,179,38185,-82.0105148,33.4734978
Brigham Young University-Hawaii,Laie,HI,West,Bachelor,Private,CoEd,0.3486,1110,2522,4940,8658,45,8291,-157.9225549,21.6482858
University of Hawaii at Manoa,Honolulu,HI,West,Graduate,Public,CoEd,0.7882,1070,13667,10620,10733,35,19000,-157.8583333,21.3069444
University of Hawaii at Hilo,Hilo,HI,West,Graduate,Public,CoEd,0.7134,936,3295,7036,9009,64,19197,-155.0884869,19.7070942
Chaminade University of Honolulu,Honolulu,HI,West,Graduate,Private,CoEd,0.8562,958,2017,20940,8804,73,22000,-157.8583333,21.3069444
Grinnell College,Grinnell,IA,Midwest,Bachelor,Private,CoEd,0.2801,1398,1670,45620,9769,20,10876.5,-92.7232456,41.7434092
Emmaus Bible College,Dubuque,IA,Midwest,Bachelor,Private,CoEd,0.3976,1018,216,15390,4370,20,17000,-90.6645718,42.5005583
Faith Baptist Bible College and Theological Seminary,Ankeny,IA,Midwest,Graduate,Private,CoEd,0.6733,1004,232,16086,5049,29,17500,-93.6001278,41.7317884
Waldorf College,Forest City,IA,Midwest,Bachelor,Private,CoEd,0.6885,913,1356,20316,5258,125,20760.5,-93.6371937,43.2624685
University of Northern Iowa,Cedar Falls,IA,Midwest,Graduate,Public,CoEd,0.7772,1050,9882,7749,8135,40,21039,-92.4453161,42.5348993
Upper Iowa University,Fayette,IA,Midwest,Graduate,Private,CoEd,0.6994,950,4304,26834,6231,78,21250,-91.8021071,42.8419255
University of Iowa,Iowa City,IA,Midwest,Graduate,Public,CoEd,0.8095,1164,21486,8079,10844,32,21612,-91.5301683,41.6611277
Dordt College,Sioux Center,IA,Midwest,Graduate,Private,CoEd,0.7299,1100,1343,27460,6081,8,23250,-96.1756935,43.0797991
Mount Mercy University,Cedar Rapids,IA,Midwest,Graduate,Private,CoEd,0.5683,1030,1417,27010,5974,45,23489.5,-91.6656232,41.9778795
Grand View University,Des Moines,IA,Midwest,Graduate,Private,CoEd,0.987,967,1977,23426,6479,87,23848.5,-93.6091064,41.6005448
Buena Vista University,Storm Lake,IA,Midwest,Graduate,Private,CoEd,0.6789,1047,1892,30406,6132,73,23877.5,-95.2019399,42.6430359
Briar Cliff University,Sioux City,IA,Midwest,Graduate,Private,CoEd,0.6169,1005,964,27202,5678,66,24000,-96.4003069,42.4999942
Iowa State University,Ames,IA,Midwest,Graduate,Public,CoEd,0.8691,1145,28336,7731,10468,39,24365,-93.6319131,42.0307812
Drake University,Des Moines,IA,Midwest,Graduate,Private,CoEd,0.6926,1239,3290,32246,9298,14,24500,-93.6091064,41.6005448
Graceland University-Lamoni,Lamoni,IA,Midwest,Graduate,Private,CoEd,0.4984,938,1415,24920,5338,84,24900,-93.9341158,40.622777
Iowa Wesleyan University,Mount Pleasant,IA,Midwest,Bachelor,Private,CoEd,0.4107,990,473,26010,5152,137,25538,-91.5487714,40.9716959
Northwestern College,Orange City,IA,Midwest,Bachelor,Private,CoEd,0.7783,1103,1113,27860,6266,26,25962.5,-96.0583523,43.0072087
University of Dubuque,Dubuque,IA,Midwest,Graduate,Private,CoEd,0.7788,941,1764,26950,6007,109,26000,-90.6645718,42.5005583
Clarke University,Dubuque,IA,Midwest,Graduate,Private,CoEd,0.7049,1029,933,28900,6177,42,26000,-90.6645718,42.5005583
Saint Ambrose University,Davenport,IA,Midwest,Graduate,Private,CoEd,0.9607,1050,2675,27540,7265,39,26000,-90.5776367,41.5236437
Loras College,Dubuque,IA,Midwest,Graduate,Private,CoEd,0.9513,1088,1468,29700,6319,37,27000,-90.6645718,42.5005583
Morningside College,Sioux City,IA,Midwest,Graduate,Private,CoEd,0.5682,1065,1293,27180,6454,38,27000,-96.4003069,42.4999942
Simpson College,Indianola,IA,Midwest,Graduate,Private,CoEd,0.8545,1125,1644,32550,6479,38,27000,-93.5574376,41.3580484
Wartburg College,Waverly,IA,Midwest,Bachelor,Private,CoEd,0.7883,1100,1614,36120,6730,40,27000,-92.4668511,42.7272032
Central College,Pella,IA,Midwest,Bachelor,Private,CoEd,0.689,1101,1333,32124,7017,31,27000,-92.916405,41.4080327
Cornell College,Mount Vernon,IA,Midwest,Bachelor,Private,CoEd,0.7363,1200,1082,37500,7102,32,27000,-91.4168371,41.9219522
Coe College,Cedar Rapids,IA,Midwest,Graduate,Private,CoEd,0.553,1146,1363,37320,7651,23,27000,-91.6656232,41.9778795
Luther College,Decorah,IA,Midwest,Bachelor,Private,CoEd,0.7116,1157,2326,38370,7695,25,27000,-91.7857092,43.3033056
Brigham Young University-Idaho,Rexburg,ID,West,Bachelor,Private,CoEd,0.9962,1041,23865,3950,8211,27,11000,-111.7924237,43.8231096
Boise Bible College,Boise,ID,West,Bachelor,Private,CoEd,0.9275,996,172,11665,4203,89,19596,-116.2146068,43.6187102
Lewis-Clark State College,Lewiston,ID,West,Bachelor,Public,CoEd,0.9904,923,3168,8624,5544,132,22250,-117.001189,46.4004089
Boise State University,Boise,ID,West,Graduate,Public,CoEd,0.77,1042,16206,6641,7059,83,23500,-116.2146068,43.6187102
University of Idaho,Moscow,ID,West,Graduate,Public,CoEd,0.6748,1057,8162,6784,8246,64,24428,-117.000165,46.7323875
Northwest Nazarene University,Nampa,ID,West,Graduate,Private,CoEd,0.6507,1052,1300,27340,5678,38,25500,-116.5634625,43.5407172
The College of Idaho,Caldwell,ID,West,Graduate,Private,CoEd,0.929,1076,1113,24955,6147,26,27000,-116.6873596,43.6629384
Lincoln College,Lincoln,IL,Midwest,Bachelor,Private,CoEd,0.5624,1125,1184,17500,5010,102,12000,-89.3648183,40.1483768
University of Chicago,Chicago,IL,Midwest,Graduate,Private,CoEd,0.0876,1505,5729,49380,17082,14,12500,-87.6297982,41.8781136
Northeastern Illinois University,Chicago,IL,Midwest,Graduate,Public,CoEd,0.5761,890,8284,8868,7022,61,14293,-87.6297982,41.8781136
Governors State University,University Park,IL,Midwest,Graduate,Public,CoEd,0.9409,909,3557,9386,6580,40,16350,-87.6833769,41.4400344
University of Illinois at Chicago,Chicago,IL,Midwest,Graduate,Public,CoEd,0.7448,1125,16635,13634,10600,32,18750,-87.6297982,41.8781136
Northwestern University,Evanston,IL,Midwest,Graduate,Private,CoEd,0.1311,1461,8725,47251,15044,10,18900,-87.6876969,42.0450722
University of Illinois at Springfield,Springfield,IL,Midwest,Graduate,Public,CoEd,0.6158,1081,2969,11367,7553,34,19500,-89.6501481,39.7817213
University of Illinois at Urbana-Champaign,Champaign,IL,Midwest,Graduate,Public,CoEd,0.5904,1326,31875,15020,11830,21,20500,-88.2433829,40.1164204
Greenville College,Greenville,IL,Midwest,Graduate,Private,CoEd,0.5568,1056,1055,24360,5888,53,21500,-89.4131356,38.8922687
Aurora University,Aurora,IL,Midwest,Graduate,Private,CoEd,0.811,1010,3199,21320,7695,37,21677.5,-88.3200715,41.7605849
Southern Illinois University-Edwardsville,Edwardsville,IL,Midwest,Graduate,Public,CoEd,0.8696,1070,11371,9738,7866,59,21875,-89.953157,38.8114364
Elmhurst College,Elmhurst,IL,Midwest,Graduate,Private,CoEd,0.6771,1089,2773,33950,7524,25,22000,-87.9403418,41.8994744
Southern Illinois University-Carbondale,Carbondale,IL,Midwest,Graduate,Public,CoEd,0.8153,1055,13171,12248,6882,83,22250,-89.2167501,37.7272727
Illinois State University,Normal,IL,Midwest,Graduate,Public,CoEd,0.7388,1110,18056,13296,7962,28,22500,-88.9906312,40.5142026
Wheaton College,Wheaton,IL,Midwest,Graduate,Private,CoEd,0.6915,1311,2402,31900,8607,11,22500,-88.1070127,41.8661403
Quincy University,Quincy,IL,Midwest,Graduate,Private,CoEd,0.8893,1024,1075,26572,5651,66,22727.5,-91.4098726,39.9356016
Lincoln Christian University,Lincoln,IL,Midwest,Graduate,Private,CoEd,0.4758,1006,553,16050,5271,61,22750,-89.3648183,40.1483768
Benedictine University,Lisle,IL,Midwest,Graduate,Private,CoEd,0.7717,1030,3750,26558,7575,44,23000,-88.0747875,41.801141
Eastern Illinois University,Charleston,IL,Midwest,Graduate,Public,CoEd,0.4976,1010,7525,11108,7893,55,23250,-88.1761521,39.4961458
Northern Illinois University,Dekalb,IL,Midwest,Graduate,Public,CoEd,0.5089,1030,15391,13505,7828,69,23347,-88.7503647,41.9294736
Judson University,Elgin,IL,Midwest,Graduate,Private,CoEd,0.7312,1080,1051,27530,6422,42,23500,-88.2825668,42.0354084
Roosevelt University,Chicago,IL,Midwest,Graduate,Private,CoEd,0.7764,1050,3727,26900,7939,66,23562.5,-87.6297982,41.8781136
Western Illinois University,Macomb,IL,Midwest,Graduate,Public,CoEd,0.6964,970,9645,12217,8439,55,24091,-90.6717971,40.4592076
Saint Xavier University,Chicago,IL,Midwest,Graduate,Private,CoEd,0.4964,1008,2940,30100,7789,50,24250,-87.6297982,41.8781136
McKendree University,Lebanon,IL,Midwest,Graduate,Private,CoEd,0.6115,1048,2452,26900,6728,62,24447.5,-89.8073195,38.6039375
Concordia University-Chicago,River Forest,IL,Midwest,Graduate,Private,CoEd,0.5385,1031,1491,28718,4048,34,25000,-87.8139483,41.8978091
Dominican University,River Forest,IL,Midwest,Graduate,Private,CoEd,0.6067,1029,2149,29770,6819,28,25000,-87.8139483,41.8978091
Olivet Nazarene University,Bourbonnais,IL,Midwest,Graduate,Private,CoEd,0.7449,1105,3504,31390,7004,43,25000,-87.879523,41.1760108
School of the Art Institute of Chicago,Chicago,IL,Midwest,Graduate,Private,CoEd,0.6915,1065,2783,42230,7156,72,25000,-87.6297982,41.8781136
University of St Francis,Joliet,IL,Midwest,Graduate,Private,CoEd,0.5056,1064,1732,28790,7694,47,25000,-88.0817251,41.525031
Lewis University,Romeoville,IL,Midwest,Graduate,Private,CoEd,0.6191,1070,4605,27830,9078,40,25000,-88.0895061,41.6475306
Loyola University Chicago,Chicago,IL,Midwest,Graduate,Private,CoEd,0.6334,1212,10042,37412,9929,33,25000,-87.6297982,41.8781136
Eureka College,Eureka,IL,Midwest,Bachelor,Private,CoEd,0.6448,1053,652,20060,5969,61,25375,-89.2728627,40.7214251
North Central College,Naperville,IL,Midwest,Graduate,Private,CoEd,0.5984,1125,2685,34230,8104,33,25515,-88.1535352,41.7508391
Rockford University,Rockford,IL,Midwest,Graduate,Private,CoEd,0.548,1009,1017,27530,5306,72,25700,-89.0939952,42.2711311
