TEAM,NAME,EXPERIENCE,POSITION,AGE,HT,WT,PPG_LAST_SEASON,APG_LAST_SEASON,RPG_LAST_SEASON,PER_LAST_SEASON,PPG_CAREER,APG_CAREER,RGP_CAREER,GP,MPG,FGM_FGA,FGP,THM_THA,THP,FTM_FTA,FTP,APG,BLKPG,STLPG,TOPG,PPG,Salary
Boston Celtics,Aron Baynes,6,SF,31,208.28,117.65,6,1.1,5.4,12.09,5.4,0.7,4.4,376,15,2.2-4.3,0.502,0.0-0.1,0.143,1.0-1.3,0.802,0.7,0.5,0.2,0.8,5.4,5193600
Boston Celtics,Jabari Bird,1,SG,24,198.12,89.59,3,0.6,1.5,12.18,3,0.6,1.5,13,8.8,1.2-2.0,0.577,0.2-0.5,0.429,0.5-1.0,0.462,0.6,0.1,0.2,0.6,3,1349464
Boston Celtics,Jaylen Brown,2,F,21,200.66,99.55,14.5,1.6,4.9,13.69,10.4,1.2,3.8,148,23.6,3.8-8.3,0.461,1.1-3.0,0.379,1.6-2.4,0.658,1.2,0.3,0.7,1.3,10.4,5169960
Boston Celtics,Gordon Hayward,8,SF,28,203.2,101.81,2,0,1,7.43,15.6,3.4,4.2,517,31.3,5.3-11.9,0.444,1.3-3.6,0.368,3.8-4.6,0.82,3.4,0.4,1,2,15.6,31214295
Boston Celtics,Al Horford,11,PF,32,208.28,110.86,12.9,7.4,1.1,17.63,14.2,8.6,1.2,718,33.2,6.0-11.4,0.525,0.4-1.1,0.37,1.8-2.4,0.75,3.2,1.2,0.8,1.6,14.2,28928709
Boston Celtics,Kyrie Irving,7,PG,26,190.5,87.33,24.4,5.1,3.8,25.03,22,5.5,3.4,441,33.9,8.0-17.4,0.462,2.0-5.2,0.388,3.9-4.5,0.875,5.5,0.3,1.3,2.7,22,20099189
Boston Celtics,Marcus Morris,7,PF,29,205.74,106.33,13.6,5.4,0.2,14.57,11.2,4.4,0.2,470,26.3,4.1-9.7,0.428,1.3-3.6,0.357,1.6-2.1,0.731,1.5,0.2,0.7,1.2,11.2,5375000
Boston Celtics,Semi Ojeleye,1,PF,23,200.66,109.05,2.7,2.2,0.1,4.57,2.7,2.2,0.1,73,15.8,0.9-2.6,0.346,0.5-1.7,0.32,0.3-0.6,0.61,0.3,0.1,0.3,0.3,2.7,1378242
Boston Celtics,Terry Rozier,3,PG,24,185.42,85.97,11.3,2.9,4.7,15.12,7.2,2.1,3.5,193,18.9,2.6-6.8,0.377,1.1-3.2,0.355,0.9-1.2,0.773,2.1,0.2,0.7,0.8,7.2,3050390
Boston Celtics,Marcus Smart,4,PG,24,193.04,99.55,10.2,4.8,3.5,10.83,9.4,3.9,3.7,261,28.7,3.1-8.7,0.36,1.2-4.2,0.293,2.0-2.6,0.756,3.9,0.4,1.5,1.8,9.4,11660716
Boston Celtics,Jayson Tatum,1,SF,20,203.2,94.12,13.9,1.6,5,15.29,13.9,1.6,5,80,30.5,5.0-10.4,0.475,1.3-3.0,0.434,2.7-3.2,0.826,1.6,0.7,1,1.4,13.9,6700800
Boston Celtics,Daniel Theis,1,PF,26,203.2,109.95,5.3,4.3,0.8,16.16,5.3,4.3,0.8,63,14.8,2.0-3.7,0.541,0.3-0.9,0.31,1.0-1.3,0.753,0.9,0.8,0.5,0.9,5.3,1378242
Boston Celtics,Brad Wanamaker,0,PG,29,193.04,95.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838464
Boston Celtics,Guerschon Yabusele,1,PF,22,203.2,117.65,2.4,1.6,0.2,12.37,2.4,1.6,0.2,33,7.1,0.8-1.8,0.426,0.4-1.1,0.324,0.5-0.7,0.682,0.5,0.2,0.1,0.4,2.4,2667600
Brooklyn Nets,Jarrett Allen,1,C,20,210.82,107.24,8.2,5.4,1.2,17.56,8.2,5.4,1.2,72,20,3.3-5.5,0.589,0.1-0.2,0.333,1.6-2.0,0.776,0.7,1.2,0.4,1.1,8.2,2034120
Brooklyn Nets,DeMarre Carroll,9,SF,32,203.2,97.29,13.5,2,6.6,14.31,8.9,1.3,4.2,487,24,3.2-7.3,0.436,1.1-3.1,0.364,1.4-1.9,0.738,1.3,0.3,1,0.8,8.9,15400000
Brooklyn Nets,Allen Crabbe,5,SG,26,198.12,95.93,13.2,1.6,4.3,12.33,9.5,1.2,2.8,301,24.4,3.4-7.8,0.439,1.6-4.0,0.397,1.1-1.3,0.849,1.2,0.3,0.6,0.7,9.5,18500000
Brooklyn Nets,Ed Davis,8,PF,29,208.28,101.81,5.3,7.4,0.7,15.55,6.6,6.5,0.9,559,20.6,2.7-4.9,0.564,0.0-0.0,0,1.1-1.9,0.579,0.8,0.9,0.5,0.8,6.6,4449000
Brooklyn Nets,Spencer Dinwiddie,4,PG,25,198.12,95.02,12.6,6.6,3.2,15.89,8.9,4.5,2.6,185,23,2.9-7.4,0.387,1.0-3.3,0.315,2.1-2.7,0.798,4.5,0.3,0.7,1.3,8.9,1656092
Brooklyn Nets,Jared Dudley,11,SF,33,200.66,107.24,3.2,1.6,2,8.79,8,1.6,3.3,788,23.4,2.9-6.2,0.467,1.0-2.6,0.396,1.1-1.6,0.733,1.6,0.2,0.8,0.9,8,9530000
Brooklyn Nets,Kenneth Faried,7,PF,28,203.2,99.55,5.9,4.8,0.4,17.48,11.4,8.2,0.8,441,24.9,4.6-8.5,0.543,0.0-0.0,0.1,2.2-3.4,0.655,1,0.8,0.8,1.3,11.4,13764045
Brooklyn Nets,Treveon Graham,2,SG,24,195.58,101.81,4.3,0.9,1.9,9,3.7,0.7,1.6,90,13.8,1.3-2.9,0.441,0.5-1.2,0.438,0.6-0.8,0.689,0.7,0,0.4,0.3,3.7,1512601
Brooklyn Nets,Joe Harris,4,SF,27,198.12,98.64,10.8,1.6,3.3,13.39,7.6,1.1,2.4,186,19.5,2.7-6.0,0.459,1.4-3.6,0.4,0.7-0.9,0.774,1.1,0.2,0.4,0.9,7.6,8000000
Brooklyn Nets,Rondae Hollis-Jefferson,3,SF,23,200.66,98.19,13.9,2.5,6.8,16.9,10.2,2.1,6.1,175,24.6,3.7-8.0,0.456,0.2-0.8,0.237,2.7-3.5,0.767,2.1,0.6,1.1,1.5,10.2,2470357
Brooklyn Nets,Rodions Kurucs,0,SF,20,205.74,95.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1618320
Brooklyn Nets,Caris LeVert,2,SG,24,200.66,92.31,12.1,4.2,3.7,14.3,10.4,3.2,3.5,128,24.2,3.8-8.7,0.44,1.1-3.4,0.336,1.6-2.2,0.714,3.2,0.2,1,1.7,10.4,1702800
Brooklyn Nets,Dzanan Musa,0,SG,19,205.74,94.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632240
Brooklyn Nets,Shabazz Napier,4,PG,27,185.42,81.45,8.7,2,2.3,14.18,5.7,1.9,1.7,233,15.7,1.9-4.9,0.395,0.8-2.3,0.363,1.0-1.2,0.802,1.9,0.1,0.8,1.1,5.7,1942422
Brooklyn Nets,D'Angelo Russell,3,PG,22,195.58,89.59,15.5,5.2,3.9,15.31,14.6,4.3,3.6,191,27.8,5.3-13.1,0.409,1.9-5.4,0.344,2.0-2.7,0.754,4.3,0.2,1.1,2.7,14.6,7019698
Brooklyn Nets,Alan Williams,3,PF,25,203.2,119.91,4,4.4,0.2,9.35,6.4,5.7,0.6,62,13.6,2.5-5.0,0.502,0.0-0.0,0,1.4-2.2,0.63,0.6,0.6,0.6,0.8,6.4,5000000
New York Knicks,Ron Baker,2,SG,25,193.04,99.55,2.4,1.6,1,9.26,3.5,1.9,1.6,81,15.3,1.3-3.4,0.37,0.4-1.5,0.286,0.6-0.9,0.696,1.9,0.2,0.7,0.9,3.5,4544000
New York Knicks,Trey Burke,5,PG,25,185.42,79.19,12.8,4.7,2,21.11,10.9,3.8,2.1,303,24.4,4.2-10.5,0.404,1.3-3.8,0.339,1.1-1.4,0.791,3.8,0.1,0.6,1.4,10.9,1795015
New York Knicks,Damyean Dotson,1,SG,24,198.12,95.02,4.1,0.7,1.9,11.64,4.1,0.7,1.9,44,10.8,1.6-3.7,0.447,0.5-1.5,0.324,0.4-0.5,0.696,0.7,0,0.3,0.4,4.1,1378242
New York Knicks,Tim Hardaway Jr.,5,G,26,198.12,92.76,17.5,2.7,3.9,14.48,12.1,1.7,2.4,338,25,4.3-10.2,0.425,1.7-5.0,0.344,1.7-2.2,0.806,1.7,0.2,0.6,1,12.1,17325000
New York Knicks,Mario Hezonja,3,SF,23,203.2,101.81,9.6,1.4,3.7,13.73,6.9,1.3,2.8,219,18.4,2.6-6.2,0.418,0.9-2.8,0.332,0.8-1.0,0.837,1.3,0.3,0.7,1.1,6.9,6500000
New York Knicks,Enes Kanter,7,C,26,210.82,113.12,14.1,11,0.5,24.02,11.7,7.3,0.5,516,21.9,4.8-8.8,0.539,0.1-0.2,0.294,2.1-2.7,0.779,0.7,0.5,0.4,1.6,11.7,18622514
New York Knicks,Kevin Knox,0,SF,19,205.74,97.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3739920
New York Knicks,Luke Kornet,1,PF,23,215.9,113.12,6.7,3.2,0.8,13.59,6.7,3.2,0.8,20,16.4,2.5-6.3,0.392,1.4-4.0,0.354,0.4-0.6,0.727,1.3,0.8,0.3,0.6,6.7,1619260
New York Knicks,Courtney Lee,10,SG,33,195.58,97.29,12,2.4,2.9,13.06,10,1.7,2.7,753,28.1,3.8-8.4,0.451,1.1-2.9,0.389,1.3-1.5,0.856,1.7,0.3,1,1,10,12253780
New York Knicks,Emmanuel Mudiay,3,PG,22,195.58,90.5,8.6,3.2,2.4,11.51,10.8,4.3,3,187,25.2,4.0-10.6,0.374,0.9-3.0,0.317,2.0-2.7,0.731,4.3,0.3,0.8,2.4,10.8,4294480
New York Knicks,Frank Ntilikina,1,PG,20,198.12,90.5,5.9,3.2,2.3,7.11,5.9,3.2,2.3,78,21.9,2.3-6.4,0.364,0.6-2.0,0.318,0.6-0.9,0.721,3.2,0.2,0.8,1.7,5.9,4155720
New York Knicks,Kristaps Porzingis,3,PF,23,220.98,108.6,22.7,6.6,2.4,20.42,17.8,7.1,2,186,31,6.5-14.8,0.437,1.5-4.2,0.361,3.3-4.1,0.804,1.3,2,0.7,1.8,17.8,5697054
New York Knicks,Mitchell Robinson,0,C,20,215.9,108.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1485440
New York Knicks,Lance Thomas,7,SF,30,203.2,108.6,4.1,0.6,2.4,6.33,5.3,0.7,2.6,346,18.6,1.9-4.6,0.42,0.4-1.0,0.408,1.0-1.3,0.801,0.7,0.1,0.4,0.7,5.3,7119650
New York Knicks,Noah Vonleh,4,PF,23,205.74,113.12,4.9,5.8,0.3,12.85,4.1,4.7,0.3,231,15.5,1.6-3.7,0.444,0.2-0.6,0.297,0.7-1.0,0.664,0.4,0.3,0.3,0.7,4.1,1512601
Philadelphia 76ers,Jerryd Bayless,10,PG,30,190.5,90.5,7.9,1.4,2.1,7.58,8.5,2.8,2.1,552,21.4,3.0-7.2,0.414,0.9-2.3,0.366,1.7-2.1,0.824,2.8,0.1,0.6,1.4,8.5,8575916
Philadelphia 76ers,Wilson Chandler,10,SF,31,205.74,101.81,10,2.1,5.4,10.99,13.5,1.8,5.4,590,31.1,5.2-11.7,0.445,1.3-3.9,0.341,1.7-2.2,0.769,1.8,0.6,0.7,1.4,13.5,12800562
Philadelphia 76ers,Robert Covington,5,SF,27,205.74,101.81,12.6,2,5.4,12.98,12.7,1.6,5.5,291,29.4,4.2-10.5,0.399,2.3-6.5,0.358,2.0-2.4,0.82,1.6,0.7,1.6,1.8,12.7,10464092
Philadelphia 76ers,Joel Embiid,2,C,24,213.36,113.12,22.9,11,1.8,22.95,22,9.9,2,94,28.7,7.6-15.8,0.478,1.1-3.3,0.327,5.9-7.6,0.774,2.8,2,0.7,3.7,22,25467250
Philadelphia 76ers,Markelle Fultz,1,PG,20,193.04,90.5,7.1,3.8,3.1,12.44,7.1,3.8,3.1,14,18.1,3.2-7.9,0.405,0.0-0.1,0,0.7-1.5,0.476,3.8,0.3,0.9,1.2,7.1,8339880
Philadelphia 76ers,Amir Johnson,13,C,31,205.74,108.6,4.6,4.5,0.6,14.9,7.2,5.5,1,819,21.7,3.0-5.3,0.572,0.1-0.3,0.337,1.0-1.5,0.67,1.2,1,0.6,1.1,7.2,1512601
Philadelphia 76ers,Furkan Korkmaz,1,SG,21,200.66,85.97,1.6,0.3,0.8,3.43,1.6,0.3,0.8,14,5.7,0.6-2.0,0.286,0.4-1.2,0.294,0.1-0.3,0.5,0.3,0.1,0.1,0.1,1.6,1740000
Philadelphia 76ers,T.J. McConnell,3,PG,26,187.96,85.97,6.3,4,3,12.51,6.4,5.1,3.1,238,22.9,2.8-5.9,0.475,0.3-0.9,0.335,0.5-0.7,0.765,5.1,0.1,1.3,1.7,6.4,1600520
Philadelphia 76ers,Mike Muscala,5,PF,27,210.82,108.6,7.6,4.3,0.5,14.39,5.4,3.1,0.5,243,14.7,2.1-4.2,0.491,0.5-1.4,0.378,0.7-0.8,0.848,0.9,0.5,0.4,0.7,5.4,5000000
Philadelphia 76ers,JJ Redick,12,SG,34,193.04,90.5,17.1,3,2.5,15.92,12.4,2,2,760,25.4,4.2-9.3,0.449,1.9-4.6,0.415,2.1-2.4,0.89,2,0.1,0.5,1.1,12.4,12250000
Philadelphia 76ers,Dario Saric,2,PF,24,208.28,100.9,14.6,6.7,0.3,15.88,13.7,6.5,0.3,159,27.9,4.9-11.4,0.431,1.7-4.7,0.355,2.2-2.7,0.82,2.4,0.3,0.7,2.1,13.7,2526840
Philadelphia 76ers,Landry Shamet,0,PG,21,195.58,85.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1703649
Philadelphia 76ers,Ben Simmons,1,PG,22,208.28,104.07,15.8,8.2,8.1,20.03,15.8,8.2,8.1,81,33.7,6.7-12.3,0.545,0.0-0.1,0,2.4-4.2,0.56,8.2,0.9,1.7,3.4,15.8,6434520
Philadelphia 76ers,Zhaire Smith,0,SG,19,193.04,90.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2526840
Toronto Raptors,OG Anunoby,1,SF,21,203.2,104.98,5.9,0.7,2.5,10,5.9,0.7,2.5,74,20,2.2-4.7,0.471,1.0-2.7,0.371,0.5-0.8,0.629,0.7,0.2,0.7,0.6,5.9,2034120
Toronto Raptors,Lorenzo Brown,4,PG,28,195.58,85.52,2.3,0.9,1.1,8.21,3.1,2,1.6,77,12.6,1.3-3.5,0.375,0.2-1.0,0.154,0.3-0.5,0.684,2,0.1,0.6,0.8,3.1,1512601
Toronto Raptors,Danny Green,9,SG,31,198.12,97.29,8.6,1.6,3.6,11.38,8.8,1.6,3.4,540,25.1,3.1-7.5,0.418,1.8-4.5,0.395,0.8-1.0,0.815,1.6,0.8,1,1,8.8,10000000
Toronto Raptors,Serge Ibaka,9,PF,29,208.28,106.33,12.6,6.3,1.3,14.72,12.1,7.2,2.2,679,28.9,5.0-9.8,0.512,0.6-1.7,0.367,1.4-1.9,0.761,0.7,2.2,0.4,1.3,12.1,21666667
Toronto Raptors,Kawhi Leonard,7,SF,27,200.66,104.07,16.2,2.3,4.7,26.03,16.3,2.3,6.2,407,30.4,6.0-12.1,0.495,1.3-3.4,0.386,3.1-3.7,0.846,2.3,0.7,1.8,1.4,16.3,23114067
Toronto Raptors,Kyle Lowry,12,PG,32,185.42,88.69,16.2,6.9,5.6,19.53,14.4,5.9,4.2,791,31.1,4.6-10.9,0.425,1.7-4.7,0.37,3.4-4.3,0.803,5.9,0.3,1.3,2.2,14.4,31200000
Toronto Raptors,CJ Miles,13,SF,31,198.12,99.55,10,0.8,2.2,13.08,9.8,1.1,2.4,785,20.7,3.5-8.5,0.414,1.5-4.1,0.361,1.3-1.6,0.809,1.1,0.3,0.7,0.9,9.8,8333333
Toronto Raptors,Greg Monroe,8,C,28,210.82,119.91,10.3,6.9,0.5,21.24,13.7,8.6,0.6,589,28.9,5.5-10.7,0.515,0.0-0.0,0,2.7-3.8,0.707,2.3,0.6,1.1,2,13.7,1512601
Toronto Raptors,Eric Moreland,3,C,26,208.28,107.69,2.1,4.1,0.8,13.99,2,3.7,0.7,78,11,0.9-1.7,0.543,0.0-0.0,0,0.2-0.4,0.394,1,0.7,0.4,0.6,2,1826300
Toronto Raptors,Norman Powell,3,SF,25,193.04,97.29,5.5,1.3,1.7,8.57,6.6,1.1,2,195,16.2,2.4-5.7,0.427,0.7-2.3,0.324,1.0-1.3,0.801,1.1,0.2,0.6,0.9,6.6,9367200
Toronto Raptors,Malachi Richardson,2,SG,22,198.12,92.76,3.4,0.5,1.3,5.91,3.5,0.5,1.2,48,10.9,1.2-3.3,0.367,0.4-1.4,0.294,0.7-0.9,0.78,0.5,0,0.3,0.4,3.5,1569360
Toronto Raptors,Pascal Siakam,2,PF,24,205.74,104.07,7.3,4.5,0.5,14.54,6,4,0.6,136,18.7,2.6-5.2,0.506,0.2-1.0,0.216,0.6-0.9,0.639,1.3,0.6,0.6,0.7,6,1544951
Toronto Raptors,Jonas Valanciunas,6,C,26,213.36,119.91,12.7,8.6,0.9,22.52,11.7,8.5,1,440,25.5,4.6-8.2,0.558,0.1-0.2,0.397,2.4-3.1,0.785,0.7,1,0.4,1.5,11.7,16539326
Toronto Raptors,Fred VanVleet,2,PG,24,182.88,88.24,8.6,3.2,2.4,15.9,6.8,2.5,2,113,16.1,2.4-5.8,0.413,1.1-2.6,0.41,0.9-1.1,0.829,2.5,0.2,0.7,0.8,6.8,8653847
Toronto Raptors,Delon Wright,3,PG,26,195.58,82.81,8,2.9,2.9,16.49,6.6,2.3,2.3,123,17.1,2.3-5.1,0.455,0.6-1.6,0.362,1.3-1.7,0.797,2.3,0.4,0.9,1,6.6,2536898
Golden State Warriors,Jordan Bell,1,PF,23,205.74,101.36,4.6,3.6,1,18,4.6,3.6,1,57,14.2,2.0-3.2,0.627,0.0-0.1,0,0.5-0.8,0.682,1.8,1,0.6,0.9,4.6,1378242
Golden State Warriors,Quinn Cook,2,PG,25,187.96,81,9.5,2.7,2.5,12.88,8.3,2.4,1.9,47,19.7,3.3-6.8,0.487,1.2-2.8,0.438,0.5-0.6,0.8,2.4,0,0.3,1,8.3,1544951
Golden State Warriors,DeMarcus Cousins,8,C,28,210.82,122.17,25.2,12.9,1.6,22.66,21.5,11,1.2,535,32.4,7.7-16.7,0.46,0.6-1.7,0.338,5.6-7.6,0.737,3.2,1.2,1.4,3.6,21.5,5337000
Golden State Warriors,Stephen Curry,9,PG,30,190.5,85.97,26.4,6.1,5.1,28.32,23.1,6.8,4.4,625,34.4,8.0-16.8,0.477,3.4-7.8,0.436,3.6-4.0,0.903,6.8,0.2,1.8,3.2,23.1,37457154
Golden State Warriors,Kevin Durant,11,SF,30,205.74,108.6,26.4,5.4,6.8,26.05,27.1,3.9,7.1,771,37.1,9.2-18.8,0.49,1.9-4.8,0.384,6.9-7.8,0.882,3.9,1.1,1.2,3.1,27.1,30000000
Golden State Warriors,Jacob Evans,0,SG,21,198.12,95.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644240
Golden State Warriors,Draymond Green,6,PF,28,200.66,104.07,11,7.6,1.3,16.1,9.3,6.9,1.1,467,27.7,3.3-7.6,0.438,0.9-2.9,0.327,1.7-2.3,0.707,4.6,1.1,1.4,2,9.3,17469565
Golden State Warriors,Andre Iguodala,14,SG,34,198.12,97.29,6,3.3,3.8,11.22,12.6,4.4,5.2,1040,34.1,4.5-9.7,0.465,0.9-2.7,0.333,2.6-3.7,0.713,4.4,0.5,1.5,2,12.6,16000000
Golden State Warriors,Jonas Jerebko,8,PF,31,208.28,104.52,5.8,3.3,0.2,13.25,6.2,4,0.2,562,18,2.3-5.1,0.457,0.6-1.6,0.363,0.9-1.2,0.766,0.8,0.2,0.5,0.7,6.2,1512601
Golden State Warriors,Damian Jones,2,C,23,213.36,110.86,1.7,0.9,0.2,6.88,1.8,1.5,0.3,25,7,0.8-1.5,0.5,0.0-0.0,0,0.2-0.6,0.4,0.1,0.3,0.1,0.4,1.8,1544951
Golden State Warriors,Shaun Livingston,13,PG,33,200.66,86.88,5.5,2,1.8,11.64,6.5,3.1,2.4,769,21.1,2.7-5.5,0.485,0.0-0.1,0.183,1.1-1.4,0.794,3.1,0.4,0.7,1.3,6.5,8307692
Golden State Warriors,Kevon Looney,3,SF,22,205.74,99.55,4,0.6,3.3,14.82,3.3,0.6,2.8,124,11.1,1.4-2.5,0.56,0.0-0.1,0.25,0.5-0.9,0.568,0.6,0.6,0.4,0.4,3.3,1512601
Golden State Warriors,Klay Thompson,7,SG,28,200.66,97.29,20,2.5,3.8,16.15,19.2,2.3,3.4,537,32.9,7.2-15.7,0.458,2.9-6.9,0.422,1.9-2.3,0.852,2.3,0.5,0.9,1.7,19.2,18988725
LA Clippers,Patrick Beverley,6,PG,30,185.42,83.71,12.2,2.9,4.1,12.46,9.4,3.4,4.1,302,28.6,3.4-8.1,0.413,1.7-4.4,0.376,1.0-1.3,0.767,3.4,0.4,1.3,1.4,9.4,5027028
LA Clippers,Avery Bradley,8,SG,27,187.96,81.45,14.3,2,2.5,9.71,12.3,1.7,3,459,28.4,5.0-11.3,0.439,1.3-3.5,0.366,1.1-1.4,0.772,1.7,0.2,1.1,1.5,12.3,12000000
LA Clippers,Jawun Evans,1,PG,22,182.88,85.97,4.8,2.1,1.8,7.23,4.8,2.1,1.8,48,16.2,1.9-5.3,0.352,0.3-1.1,0.278,0.8-1.0,0.776,2.1,0.1,0.8,0.9,4.8,1378242
LA Clippers,Danilo Gallinari,9,SF,30,208.28,101.81,15.3,2,4.8,13.96,15.3,2,4.7,481,31.2,4.6-11.0,0.419,1.8-4.9,0.367,4.3-4.9,0.865,2,0.4,0.8,1.3,15.3,21587579
LA Clippers,Shai Gilgeous-Alexander,0,PG,20,198.12,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3375360
LA Clippers,Marcin Gortat,11,C,34,210.82,108.6,8.4,7.6,0.7,14.7,10.2,8.1,1.1,759,26.3,4.4-7.9,0.552,0.0-0.0,0.15,1.5-2.2,0.678,1.1,1.1,0.5,1.2,10.2,13565218
LA Clippers,Montrezl Harrell,3,PF,24,203.2,108.6,11,4,0.7,24.73,8.7,3.4,0.6,173,15.8,3.6-5.7,0.642,0.0-0.1,0.133,1.4-2.2,0.614,0.9,0.6,0.4,0.7,8.7,6000000
LA Clippers,Tobias Harris,7,SF,26,205.74,106.33,18.6,2.4,5.5,17.2,14.6,1.7,5.6,464,29.6,5.6-11.9,0.467,1.1-3.2,0.355,2.4-2.9,0.812,1.7,0.5,0.8,1.3,14.6,14800000
LA Clippers,Wesley Johnson,8,SF,31,200.66,97.29,5.4,0.8,2.9,9.81,7.2,1.1,3.2,571,22.7,2.8-6.8,0.406,1.0-3.1,0.337,0.6-0.8,0.743,1.1,0.7,0.8,0.9,7.2,6134520
LA Clippers,Boban Marjanovic,3,C,30,220.98,131.22,6,3.7,0.3,25.98,5.6,3.7,0.4,128,8.9,2.0-3.5,0.564,0.0-0.0,0,1.6-2.1,0.784,0.4,0.4,0.2,0.6,5.6,7000000
LA Clippers,Luc Mbah a Moute,10,PF,31,203.2,104.07,7.5,3,0.4,10.29,6.4,4.1,0.4,682,23.4,2.5-5.4,0.455,0.3-0.9,0.336,1.2-1.8,0.661,0.9,0.4,0.9,0.9,6.4,4320500
LA Clippers,Jerome Robinson,0,SG,21,195.58,85.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3046200
LA Clippers,Mike Scott,6,PF,30,203.2,107.24,8.8,3.3,0.1,13.72,7.4,3,0.1,357,16,2.9-6.1,0.476,0.7-2.1,0.351,0.9-1.2,0.762,0.9,0.1,0.3,0.8,7.4,4320500
LA Clippers,Milos Teodosic,1,PG,31,195.58,88.69,9.5,4.6,2.8,11.67,9.5,4.6,2.8,45,25.2,3.4-8.0,0.419,2.0-5.2,0.379,0.9-1.0,0.848,4.6,0.1,0.5,2.2,9.5,6300000
LA Clippers,Sindarius Thornwell,1,SG,23,195.58,97.29,3.9,0.9,1.9,8.22,3.9,0.9,1.9,73,15.8,1.4-3.2,0.429,0.3-0.8,0.377,0.8-1.2,0.67,0.9,0.3,0.7,0.7,3.9,1378242
LA Clippers,Tyrone Wallace,1,SG,24,195.58,89.59,9.7,2.4,3.5,10.18,9.7,2.4,3.5,30,28.4,3.7-8.2,0.445,0.3-1.3,0.25,2.0-2.6,0.782,2.4,0.4,0.9,1.5,9.7,1349383
LA Clippers,Lou Williams,13,SG,31,185.42,79.19,22.6,5.3,2.5,20.29,13.7,3.1,2.1,861,24.4,4.4-10.5,0.42,1.3-3.8,0.348,3.6-4.3,0.834,3.1,0.2,0.9,1.6,13.7,8000000
Los Angeles Lakers,Lonzo Ball,1,PG,20,198.12,85.97,10.2,7.2,6.9,12.53,10.2,7.2,6.9,52,34.2,3.9-10.8,0.36,1.7-5.7,0.305,0.6-1.4,0.451,7.2,0.8,1.7,2.6,10.2,7461960
Los Angeles Lakers,Michael Beasley,10,SF,29,205.74,106.33,13.2,1.7,5.6,17.89,12.7,1.3,4.8,583,23.4,5.2-11.1,0.464,0.5-1.4,0.352,1.8-2.4,0.76,1.3,0.5,0.6,1.7,12.7,3500000
Los Angeles Lakers,Isaac Bonga,0,PG,18,203.2,81.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000
Los Angeles Lakers,Kentavious Caldwell-Pope,5,SG,25,195.58,92.76,13.4,2.2,5.2,13.22,12,1.7,3.4,388,30.8,4.3-10.6,0.409,1.6-4.8,0.345,1.7-2.1,0.786,1.7,0.2,1.2,1.1,12,12000000
Los Angeles Lakers,Josh Hart,1,SG,23,195.58,97.29,7.9,1.3,4.2,12.25,7.9,1.3,4.2,63,23.2,2.8-6.0,0.469,1.2-3.1,0.396,1.0-1.5,0.702,1.3,0.3,0.7,0.7,7.9,1655160
Los Angeles Lakers,Brandon Ingram,2,SF,21,205.74,85.97,16.1,3.9,5.3,13.9,12.2,2.9,4.6,138,30.8,4.6-10.5,0.438,0.7-2.1,0.329,2.4-3.6,0.655,2.9,0.6,0.7,1.9,12.2,5757120
Los Angeles Lakers,LeBron James,15,SF,33,203.2,113.12,27.5,9.1,8.6,28.65,27.2,7.2,7.4,1143,38.8,9.9-19.6,0.504,1.4-4.1,0.344,6.0-8.1,0.739,7.2,0.8,1.6,3.5,27.2,35654150
Los Angeles Lakers,Kyle Kuzma,1,PF,23,205.74,99.55,16.1,6.3,0.4,14.22,16.1,6.3,0.4,77,31.2,6.1-13.5,0.45,2.1-5.6,0.366,1.9-2.7,0.707,1.8,0.4,0.6,1.8,16.1,1689840
Los Angeles Lakers,JaVale McGee,10,C,30,213.36,122.17,4.8,2.6,0.9,22.39,7.5,4.8,1.5,558,16.7,3.2-5.7,0.559,0.0-0.0,0.067,1.1-2.0,0.582,0.3,1.5,0.4,0.9,7.5,1512601
Los Angeles Lakers,Sviatoslav Mykhailiuk,0,SF,21,203.2,92.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1487694
Los Angeles Lakers,Rajon Rondo,12,PG,32,185.42,84.16,8.3,8.2,4,15.28,10.5,8.5,4.8,779,31.8,4.4-9.5,0.463,0.4-1.2,0.309,1.3-2.2,0.604,8.5,0.1,1.7,2.9,10.5,9000000
